rank,term,doc_freq,frequency,adj_frequency,methods,nonambiguous,informative,type,topic,role,notes,example
1292,registration fee,2,6,6,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,The purchase of land made by the PAF is exempt from the stamp duty and registration fee.
1293,district level,4,6,6,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,It is mandatory to constitute such Panchayat at the district level in a State having a population exceeding 20 lakhs. 100.
1294,order xx rule,2,6,6,"rake,spacy,textacy",1,informative,STATUTE-PROVISION,,RULE,,"If not, what is his status? (2) Whether the suit is maintainable for ejection of the first respondent? (3) Whether the first respondent is entitled for mesne profits under Order XX Rule 10 of the C.P.C.?"
1295,file appeal,6,6,6,spacy,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,The respondent and all the other aggrieved persons except one filed appeals against that order before the Appellate Tribunal constituted under the provisions of that Act.
1296,prescribed authority,3,6,6,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"The said words rather, connote a discretion vested in the prescribed authority."
1297,economic price,1,6,6,"spacy,textacy",1,informative,MONETARY-VALUATION,,EVIDENCE,,"Dr. V.K.R.V. Rao has been quoted again as saying: ""As regards profits, it should be pointed out that contrary to some popular notions on the subject, profits have an important place in a socialist society, the difference between the economi"
1298,municipal committee vs kalu,1,6,6,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
1299,public road,1,6,6,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,A public road and two drains on the north and south of that road ran through the respondent's land.
1300,independent provision,1,6,6,"spacy,textacy",1,informative,STATUTE-PROVISION,,RULE,,"[1062C-E] (iv) While extending the larger benefits of the 1947 Act to tenants the Legislature has used a very wide expression, namely, ""all suits and proceedings between a landlord and tenant"" so as to include within that category suits and"
1301,karta 's interest,1,6,6,spacy,1,informative,PARTY-ACTOR,PARTITION,ACTOR,,"In the Appeal to this Court it was contended that: (1) there was no provision for inclusion of a 'Karta's interest in a partnership firm in the H.U.F.'s net-wealth for wealth tax purposes under the Act, and (2) even assuming that appellant "
1302,net profit,3,6,6,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"According to the report for 1961 though there was a net profit of Rs. 1,08,005/- which together with the carry forward profit of the previous year of Rs. 40,774/- amounted to Rs. 1,48,779/- and after making provision for reserve for develop"
1303,constitutional duty,3,6,6,spacy,1,informative,LEGAL-CONCEPT,CONSTITUTIONAL,ISSUE,,This Court in K.M. Abdulla Kunhi & B.L. Abdul Khader vs. Union of India & and State of Karnataka & (CB) has clearly held that the authority has no constitutional duty to consider the representation made by the detenu before the order of con
1304,parliament or state legislature,1,6,6,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,They are not to partake with an Act of Parliament or State legislature.
1305,provision of the wakf,1,6,6,yake,1,informative,STATUTE-PROVISION,,RULE,,
1306,shamilat deh land,1,6,6,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"The vesting, however, did not divest Shamilat-deh lands of their character as Shamlatdeh lands and convert them into Khewat land."
1307,procedural law,5,6,6,"spacy,textacy",1,informative,LEGAL-CONCEPT,,ISSUE,,It cannot be said that the rules of procedural law do not apply in PIL.
1308,central service,2,6,6,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"So far, no reservations could be made in favour of OBCs for one or the other reason in Central services though in many States, such reservations are in force."
1309,sarfaesi act,2,6,6,spacy,1,informative,STATUTE-PROVISION,,RULE,,"The learned senior counsel drew our attention to several provisions of the Recovery of Debts Due to Banks and Financial Institutions Act, 1993 and the Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interes"
1310,wildlife act,1,6,6,"rake,spacy",1,informative,STATUTE-PROVISION,,RULE,,"The High Court rejected the appellant’s contentions regarding the propriety of constitution of the Expert Committee given that the Wildlife (Protection) Act, 1972 (‘Wildlife Act’) does not envisage the same and rather provides for constitut"
1311,xxi rules,1,6,6,spacy,1,informative,STATUTE-PROVISION,,RULE,,"A careful consideration of the judgment of the learned Single Judge and that of the Division Bench impugned herein and a consideration of the rival contentions, M/S. Trinity Infraventures Ltd. vs M. S. Murthy on 15 June, 2023 would show tha"
1312,oral evidence,5,6,6,"spacy,textacy",1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,There is no document in writing in proof of the agreement upon which the plaintiff's case is based and the decision hinges primarily upon appreciation of the oral evidence that has been adduced by the parties.
1313,pwc india,1,6,6,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,"Lovelock and Lewes (LL), a member firm of PwC India failed to point out the high level of NPAs, in its audit report, resulting in Global Trust Bank (GTB) being forced to merge with Oriental Bank of Commerce in 2004."
1314,bankruptcy code,1,6,6,spacy,1,informative,STATUTE-PROVISION,,RULE,,"This appeal under Section 62 of the Insolvency and Bankruptcy Code, 20161 is directed against the judgment and order dated 14.05.2019 passed by the National Company Law Appellate Tribunal, New Delhi 2 in Company Appeal (AT) Insolvency No. 5"
1315,basic principle,5,6,6,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"He referred in this context to the early decisions Oil And Natural Gas Commission And vs Association Of Natural Gas Consuming ... on 4 May, 1990 of the King's Bench Division in Bolt v. Stennett, CI E.R.-Revised--p. 1572 followed in Allnutt "
1316,public life,3,6,6,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,"It also shows that even after his release on bail from the prison on various occasions, he again started indulging in same type of offences, particularly, threatening the public life, damaging pubic property etc."
1317,court 's order,4,6,6,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,The committee shall exercise the following powers and perform the following functions: (i) to monitor the implementation of this Court's orders and place reports of non− compliance before the Court and the Central Government for appropriate
1318,people act,2,6,6,spacy,1,informative,STATUTE-PROVISION,,RULE,,"In the case of Joseph M Puthussery vs T.S. Jhon and others6, this Court was dealing with an appeal filed under Section 5 6 116 A of the Representation of People Act, 1951, against the order of a single bench of the High Court declaring the "
1319,fundamental principle,5,6,6,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"v. M.K.J. Corpn.11 this 111996 (6) court underlined the importance of this principle, and its application to the insurer, in the following terms: ""It is a fundamental principle of Insurance law that utmost good faith must be observed by the"
1320,movable property,4,6,6,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"The subject matter of the trust is movable property and unless the said property was assigned to the appellants, they would not have been able to deal with it, and that alone is the basis and the justification for the vesting provisions in "
1321,departmental proceeding,1,6,6,"spacy,textacy",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"A single judge of the High Court dismissed the petition on the preliminary grounds namely, (i) that there was inordinate delay in approaching the High Court, and (ii) that the objection as to the jurisdiction of the dismissing authority was"
1322,environment protection rules,1,6,6,spacy,1,informative,STATUTE-PROVISION,,RULE,,"2013 5oC. However, vide notification dated 22.12.1998, Environment (Protection) Rules, 1986 were amended."
1323,common land,2,6,6,"spacy,textacy",1,informative,PROPERTY-RES,,EVIDENCE,,"""Nor can any individual proprietor plant or cut trees on the common land, nor sink a well, nor appropriate houses built for common purposes except with such consent"" (Article 226)."
1324,mandatory provision,3,6,6,"spacy,textacy",1,informative,STATUTE-PROVISION,,RULE,,Such a course would render the mandatory provisions of the enactment meaningless and superfluous.
1325,register sale deed,3,6,6,spacy,1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,"To appreciate the controversy raised in this appeal, few relevant facts may be noted. Ramadhar - appellant herein purchased a house bearing Municipal Ward No. 80, Sheet No. 34 situate at Mohalla Gwaltoli in Hoshangabad (M.P) by a registered"
1326,person resident,1,6,6,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"According to Notification dated May 3, 2000, under Section 47(2)(h) of FEMA Act, no person resident outside India can make investment by way of contribution to the capital of a firm or a proprietary concern or any association of persons in "
1327,original contract,2,6,6,spacy,1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,"shall, so long as he retains possession, observe and be entitled to the benefit of all the terms and conditions of the original contract of tenancy""."
1328,district courts,1,6,6,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Chagla, C. J. repelled this contention and pointed out that the Courts which dealt with winding up petitions and to whose orders s. 202 applied were not merely the High Courts but also the District Courts."
1329,market value of the acquire,2,6,6,yake,1,informative,MONETARY-VALUATION,LAND-ACQUISITION,EVIDENCE,,
1330,status report,4,6,6,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,This Court also directed each state government to constitute a committee with the Principal Chief Conservator of Forests and another Senior Official to oversee the compliance of its orders and the filing of status reports by the states.
1331,general clauses act,4,6,6,spacy,1,informative,STATUTE-PROVISION,,RULE,,The expression ‘Local Authority’ is defined in Section 3(31) of the General Clauses Act.
1332,regional office,1,6,6,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,Periodic reports shall be submitted to the Regional Office of this Ministry.
1333,specific provision,5,6,6,spacy,1,informative,STATUTE-PROVISION,,RULE,,(6) Where there is an express legal bar engrafted in any of the provisions of the Code or the concerned Act (under which a criminal proceeding is instituted) to the institution and continuance of the proceedings and/or where there is a spec
1334,excise and taxation commissioner,1,6,6,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"The next circumstance was a memo of the Financial Commissioner dated 26.4.96 addressed to the Excise and Taxation Commissioner, the relevant extract of which reads as follows: ""Pursuant to the announcements made by the Finance Minister, Pun"
1335,sections 498a,2,5,5,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Vanka Radhamanohari vs Vanke Venkata Reddy And on 20 April, 1990 Magistrate took cognizance of 'the offences under Sections 498A and 404 of the Penal Code against the accused persons."
1336,partnership business,2,5,5,"spacy,textacy",1,informative,LEGAL-CONCEPT,,ISSUE,,""" Ex-facie this document disclosed that the partnership business had come to a halt and the Addanki family had given up their share in the machine, etc., in the business and had made it over to the Bhaskara family."
1337,equitable mortgage,2,5,5,spacy,1,informative,LEGAL-CONCEPT,MORTGAGE-CHARGE,ISSUE,,"They seek to implead themselves as parties to the Special Leave Petitions, on the ground that a company by name of M/s MBS Jewellers Pvt. Ltd. availed certain credit facilities from the Punjab National Bank, Andhra Bank (now Union Bank of I"
1338,social welfare department,1,5,5,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"AND WHEREAS, in G.O.Ms.No.275, Social Welfare Department dated 5.11.1986, a notification has been issued exercising the powers conferred under sub-paragraph (1) of paragraph 5 of the Fifth Schedule to the Constitution of India directing tha"
1339,joint secretary,3,5,5,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"On March 2, 1959, respondent No. 1, who was the Director of Nawab Zain Yar Jung And Others vs The Director Of Endowments And Others on 9 April, 1962 Endowments and joint Secretary, Board of Revenue, served a notice on the appellants calling"
1340,bangalore city,2,5,5,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,2) The appellant has filed this appeal against the final judgment and order dated 28.03.2011 passed by the High Court of Karnataka at Bangalore in a writ of Habeas Corpus being Writ Petition No. 220 of 2010 whereby the High Court dismissed 
1341,iii entry,2,5,5,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Y.V. Chandrachud, Syed Murtaza Fazalali, V.D. Tulzapurkar, O. Chinnappa Reddy, A. Varadarajan GRAM PANCHAYAT OF VILLAGE, JAMALPUR Vs. MALWINDER SINGH & DATE OF JUDGMENT09/07/1985 CHANDRACHUD, Y.V. ((CJ) CHANDRACHUD, Y.V. ((CJ) FAZALALI, SYE"
1342,standing orders,2,5,5,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Shri Jyotikar had also argued that under the Standing Orders, the term 'operative'has been defined to include persons employed through contractor; but the Standing Orders would apply to a particular person only Ahmedabad Mfg. & Calico Ptg"
1343,u.p. urban buildings,1,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"When the vacancy in the first floor arose, the landlord applied for release of the premises u/s. 16 of the U.P. Urban Buildings (Regulation of Letting, Rent and Eviction) Act, 1972."
1344,khata number,1,5,5,"spacy,textacy",1,informative,PROPERTY-RES,,EVIDENCE,,"The sale certificate contains the khata number, the plot number, the area and the boundaries of each plot."
1345,action plan,2,5,5,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,Chapter 9 deals with the Implementation of the Guidelines which spells out the preparation of action plans by various levels of stakeholders.
1346,r.d. shetty,2,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"R.D. Shetty v. The International Airport Authority of India JUDGMENT: State of Jammu and Kashmir & , [1980] 3 ; Fertilizer Corporation Kamagar Union v. Union of India, ; Ram and Shyam Company v. State of Haryana & ,"
1347,panapur p.s.,1,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,I took the deadbody of my son to Panapur P.S. from the booth and the deadbody was sent to Patna from the police station but he succumbed to his injury.
1348,transmission licensee,1,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"The Appropriate Commission shall, subject to the provisions of this Act, specify the terms and conditions for the determination of tariff, and in doing so, shall be guided by the following, namely:- (a) the principles and methodologies spec"
1349,industry region,1,5,5,"spacy,textacy",1,informative,JURISDICTION-PLACE,,EVIDENCE,,The Wage Board following the principles laid down by this Court has considered the capacity of the industry region-wise and has also fixed wages different from region to region having regard to the difference in the capacity of the Industry
1350,cool water discharge,1,5,5,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"The point of discharge may be selected in consultation with concerned State Authorities/NIO. G.Sundarrajan vs Union Of India & on 6 May, 2013 No cooling water discharge shall be permitted in estuaries or near ecologically sensitive areas su"
1351,insurance agent,1,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"This Court has spelt out, in the context of insurance business the role of insurance agents and the liability or responsibility of insurance companies in the event of failure to discharge the duties cast upon agents, and the likely vicariou"
1352,applicant financial creditor,1,5,5,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,"The applicant financial creditor filed a rejoinder and refuted all the objections of the corporate debtor while asserting, inter alia, that the Corporation Bank declared the account of the corporate debtor as NPA on 08.07.2011"
1353,alleged breach,3,5,5,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"In the report which they submitted to the District Judge, the Liquidators set out the facts in regard to the alleged breach of the agreement of 3-11-1953 by Chunilal and the letters which had been addressed by the contributories to them bet"
1354,r.f. nariman,2,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Author: R.F. Nariman Bench: R.F. Nariman, Pinaki Chandra Ghose REPORTABLE IN THE SUPREME COURT OF INDIA CIVIL APPELLATE JURISDICTION Civil Appeal Nos.5399-5400 of 2016 Energy Watchdog …Appellant Versus Central Electricity Regulatory Commiss"
1355,mere recovery,2,5,5,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Learned counsel appearing for the respondent, on the other hand, argued that mere recovery of money by itself cannot prove the charge of the prosecution against the accused respondent in the absence of any evidence to establish payment of b"
1356,survive legal heir,1,5,5,spacy,1,informative,PARTY-ACTOR,SUCCESSION-INHERITANCE,ACTOR,,"The jewellery as contained in Ex.P-8 and inventory prepared by the Receiver are properties coming from Khurshid Jah’s time, covered by para-2 of the Firman Ex.P-30 dated 5th Shabban, 1347 H. and Order 3 Clause 9 of the same Firman and are l"
1357,principal chief conservator,2,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,This Court also directed each state government to constitute a committee with the Principal Chief Conservator of Forests and another Senior Official to oversee the compliance of its orders and the filing of status reports by the states.
1358,secretary home,1,5,5,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Objections which were fixed by the operators were heard and the schemes considered by the Secretary Home, under s. 68-D who had been so authorised under s. 23A."
1359,chapter v,3,5,5,spacy,1,informative,STATUTE-PROVISION,,RULE,,Section 24 in Chapter V (Miscellaneous) enacts that any land required by the Commission for carrying out its function under the Act shah be deemed to be needed for a public purpose and such land can be acquired by the Commission under the p
1360,manage agency,2,5,5,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"427-8-0/- or at the highest Rs. 450/- per share, that the contributories had accepted the same position not only in their letters addressed to the Liquidators between the 19th July and the 29th July 1955 but also in the grounds of appeal wh"
1361,chapter iii,5,5,5,spacy,1,informative,STATUTE-PROVISION,,RULE,,Chapter III which deals with the powers and functions of the Commission consists of Sections 14 and 15.
1362,national electricity plan,1,5,5,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"Further, according to him, Section 79(4) also points in the same direction, stating that, in discharge of its functions, the Central Commission shall be guided by the National Electricity Policy, National Electricity Plan, and tariff policy"
1363,mortgage liability,1,5,5,spacy,1,informative,LEGAL-CONCEPT,MORTGAGE-CHARGE,ISSUE,,"Therein, apart from disapproving the proposition that the date of commencement of the Code could be the starting point of limitation (as noticed hereinabove), this Court again pointed out the fallacy in applying the period of limitation rel"
1364,relevant entry,3,5,5,spacy,1,informative,STATUTE-PROVISION,,RULE,,We will therefore have interpret the relevant Entries and various Articles of the Constitution in order to ascertain the true nature of Court fees.
1365,different locality,1,5,5,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,It is possible that each of those five acts could be done at five different localities.
1366,belgaum municipality,1,5,5,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,The appellant company deals in petrol and other petroleum products which it manufactures in its refineries situated outside the octroi limits of Belgaum Municipality.
1367,managing agency,2,5,5,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,[222 D] In the present case the respondent had alleged that the Registrar Co-operative Societies had approved the termination of the contract of Managing Agency with the plaintiff and the Registrar was the Chairman of the Defendant-Society.
1368,ration shop,2,5,5,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"It is, therefore, necessary that the State Government should, for the benefit of the consumers, first, make suitable arrangements for housing the ration shops in the shops run by others in the same localities where at present the allottee-c"
1369,minimum guarantee,1,5,5,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,We are concerned in these matters only with the period from the date of expiry of the contracts in favour of each of the respondents to 30.1.1987 and with the following questions: (a) whether the O.N.G.C. is at liberty to fix its own price 
1370,tea estate,2,5,5,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"The respondent, a State Government Corporation obtained decree for certain amount against the appellant and in Haji T.M. Hassan Rawther vs Kerala Financial Corporation on 17 November, 1987 execution proceedings a tea estate was brought for "
1371,list iii entry,2,5,5,"rake,spacy",1,informative,STATUTE-PROVISION,,RULE,,"""List III Entry 13 : Civil procedure, including, all matters included in the Code of Civil Procedure at the commencement of this Constitution, limitation and arbitration."
1372,statutory interpretation,5,5,5,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"In Principles of Statutory Interpretation by Justice G.P. Singh (12 Edn. 2010), the learned Author has stated as under: ""In selecting out of different interpretations `the court will adopt that which is just, reasonable and sensible rather "
1373,ordinance iii,1,5,5,spacy,1,informative,STATUTE-PROVISION,,RULE,,"The High Court dismissed the appeal holding that a ""statutory tenant"" remaining in possession after determination of his contractual tenancy was in law not competent to sublet the premises in whole or in part and a person claiming to be a s"
1374,a.k. dutta,1,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"And vs A.K. Dutta on 6 May, 1976(8)UJ581(SC), , SUPREME COURT 1810, 1976 RENCR 651, 1976 RENCJ 510, 1976 UJ (SC)"
1375,new lease,1,5,5,spacy,1,informative,LEGAL-CONCEPT,TENANCY-LEASE,ISSUE,,"In light of the confusion in this regard, the Committee deliberated on the issue and unanimously agreed that the intent of the Code could not have been to give a new lease of life to debts which are time-barred."
1376,discharge point,1,5,5,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,D. Guidelines for discharge point: The discharge point shall preferably be located at the bottom of the water body at mid-term for proper dispersion of thermal discharge.
1377,n.l. untwalia,2,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Author: N.L. Untwalia Bench: N.L. Untwalia, Kuttyil Kurien Mathew,"
1378,new contract,3,5,5,spacy,1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,"On the expiry of each contract, a fresh contract had to be entered into and, naturally, the new contract stipulated prices for supply that were prevalent at the time of the respective contracts."
1379,amend act,5,5,5,spacy,1,informative,STATUTE-PROVISION,,RULE,,"That to shorten the litigation and speed up disposal of suits, amendment was made by the amending Act, 1999, deleting Rule 17 from the Code."
1380,mass transfer,1,5,5,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"The first respondent did not apply for interim relief as he did not wish to continue to function as a Judge of the Gujarat High Court under an interim order made by the Court, but he had filed the petition pro bono public to assert and vind"
1381,specific house property,1,5,5,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"In the instant case, the Wealth-tax Officer was of the view that the book values of specific house properties as indicated in the returns filed by the appellant No. 2 were far below their market values."
1382,release application,1,5,5,"spacy,textacy",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"If the release application is allowed, the landlord is permitted to occupy the building or part thereof as the case may be."
1383,original order,4,5,5,"spacy,textacy",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"The appellant had obtained a certificate of fitness of the case for appeal to this Court under Article 133 (1) (c) of the Constitution, because it was contended on behalf of the appellant that, as, the application under Article 226 of the C"
1384,deceased ’s income,1,5,5,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"Furthermore, it highlighted that almost all of the Deceased’s income consisted of returns he received on his capital assests."
1385,court case,3,5,5,"spacy,textacy",1,informative,FORUM-AUTHORITY,,ACTOR,,"The details furnished below will go to show as to how the facts of the present case show that the matters which are sought to be raised by way of amendment by the appellants were well within their knowledge on their court case, and manifest"
1386,displaced person,2,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"The Custodian under that Act would have the husk of the title to the evacuees' interest in the Shamlatdeh lands as a result of the vesting of that interesting him, but beyond such vesting he would be powerless, in practice, to distribute th"
1387,madras act,2,5,5,spacy,1,informative,STATUTE-PROVISION,,RULE,,"In April 1968 an Ordinance was promulgated by the Governor which was later replaced by the, Madras Act 18 of 1968 which became effective from April 1, 1968."
1388,allotted land,1,5,5,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"The balance cost of the allotted land would be deposited by the allottees in 20 equal yearly installments as stipulated in clause (5.3) of the R & R Policy, and to treat a major son of the family whose land has been acquired as a separate f"
1389,private individual,3,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Also, it must be kept in mind that exploration of oil is capital-intensive and money-consuming and the ONGC would be well justified in supplying gas to voluntary contractors at a price which several parties are willing to accept and which w"
1390,homeless person,1,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"The flat was allowed to the appellant, H.D. Vora, who was neither a government servant nor a homeless person."
1391,relevant clause,4,5,5,"spacy,textacy",1,informative,STATUTE-PROVISION,,RULE,,"Before considering respective contentions of learned counsel on the point, it would be appropriate if the relevant clauses of the agreement are considered."
1392,schedule b,3,5,5,spacy,1,informative,STATUTE-PROVISION,,RULE,,Certain goods have been made tax free under Section 6(1) read with Schedule 'B' to the Act.
1393,ownership right,1,5,5,spacy,1,informative,LEGAL-CONCEPT,TITLE-OWNERSHIP,ISSUE,,"To us, therefore, it is clear that the ownership right of the plaintiff came to be established by a competent court of law in earlier proceedings wherein certain specific findings of fact had been recorded that the property was not joint fa"
1394,repudiation letter,1,5,5,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,The relevant portion of the repudiation letter reads as follows:- “2.
1395,legal principle,4,5,5,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"When the facts and circumstances of the case are considered in the background of legal principles set out in preceding paragraphs, then it would be unfair to compel the appellants to undergo the rigmarole of a criminal trial."
1396,concerned state,3,5,5,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,""" Decisions of this Court, as discussed hereinbefore, in no unmistakable terms suggest that it is the primary duty of the Union of India or the concerned State normally to accept the suggestion made by a holder of a high office like a Chief"
1397,appellant 's case,3,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"We find that the position taken up in affidavits filed on behalf of the State and the Police authorities of West Bengal was that the appellant's case was, according to them, considered fairly and impartially and that there was no grudge or "
1398,jurisdiction of the court,4,5,5,yake,1,informative,FORUM-AUTHORITY,PROCEDURE-REMEDY,ACTOR,,
1399,tripartite agreement,3,5,5,spacy,1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,"In other words under a tripartite agreement between the joint account holders inter se and the Bank, the Bank may, on maturity, make payment only to either of them."
1400,affidavit date,4,5,5,spacy,0,non-informative,TEMPORAL,,,,An affidavit dated 06.02.2007 was filed by Sh.
1401,necessary party,3,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Therefore, naturally same would have been in the knowledge of defendants right from the date and moreover when they say that mother-in-law of defendant No. 1 is also necessary party and she is also got right and interest in the suit propert"
1402,central law,2,5,5,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,It does not help the Custodian to implement the provisions of the Central law but it excludes the benign operation of the State Law.
1403,air act,1,5,5,spacy,0,non-informative,CITATION-REF,,,,"Referring to explanation 8 to the EIA Notification of 1994, it was submitted that the project did not obtain all clearances including NOC from the State Pollution Control Board, which was required under the Water Act of 1974 and Air Act of "
1404,license agreement,1,5,5,spacy,1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,This is notwithstanding the fact whether the firms have signed the License Agreement with the entity or not.
1405,appropriate government,2,5,5,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Provided that an applicant shall be given a reasonable opportunity of being heard before rejecting his application. (4) The Appropriate Commission shall, within seven days of making the order, send a copy of the order to the Appropriate Gov"
1406,needles gift account,1,5,5,yake,1,informative,LEGAL-CONCEPT,,ISSUE,,
1407,entire land,2,5,5,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"Shortly put, one of the objects of the Act appears to be to pool together the entire lands held by different persons in a village and redistribute the same among them on a more utilitarian basis in accordance with a scheme framed for the pu"
1408,head price,1,5,5,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"Between April 1971 and December 1975, the well-head price was increased and fixed at Rs.66 per unit, we are all told, on the intervention of the then Gujarat Governor."
1409,network charge,1,5,5,spacy,1,informative,LEGAL-CONCEPT,MORTGAGE-CHARGE,ISSUE,,Network charges are paid by all member entities including the Indian member entities.
1410,vide proceeding,1,5,5,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"A c t , 1 9 8 1 , consequently , show cause notices vide proceedings N"
1411,absolute right,1,5,5,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"Hence when the settlement between the parties was finalised in the shape of Ex. D-1, dated the 18th July 1934, one portion of the inheritance was retained by Doraiswami for himself and the other portion was divided into two parts, one of , "
1412,merely state,4,5,5,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"If we have a look at the chronology of events, it may be seen that the sanad relied upon by the appellants merely state as follows:- “It is stated that Nazra (i.e. the Farm Land) of Hafiz Peth and Mazra (i.e. the Farm Land) of Hydernagar, a"
1413,national company law tribunal,1,5,5,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"3 ‘CIRP’ for short. declined to interfere with the order dated 09.08.2018, passed by the National Company Law Tribunal, Mumbai Bench4 in CP(IB)- 488/I&BP/MB/2018, for commencement of CIRP as prayed for by the respondent No. 2."
1414,acquisition of the land,3,5,5,yake,1,informative,PROPERTY-RES,LAND-ACQUISITION,EVIDENCE,,
1415,steal property,3,5,5,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,Section 52(1) of the Act provides that certain specified offences (including the offence of theft when the value of stolen property does not exceed Rs.
1416,unilateral contract,1,5,5,"spacy,textacy",1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,"On the other hand, in Md. Mohar Ali vs. Md. Mamud Ali [ ], a learned Single Judge held that an agreement of sale was an unilateral contract (under which the vendor agreed to sell the immovable property to the purchaser in accordance with th"
